rabbitmq_pm-3-sum
alms-core-learner-dcount_gm-64-median
alms-core-rui-dcount_gm-64-mean
alms-core-rui_gm-61-max
alms-core-rui_gm-60-median
alms-core-learner_gm-62-median
alms-core-rui_gm-60-mean
acmesolver_pm-6-mean
alms-core-rui-dmean_gm-64-thirdquartile
acmesolver_pm-4-firstquartile
acmesolver_pm-6-thirdquartile
alms-core-rui_gm-61-count
alms-core-gradeservice-dmean_gm-64-thirdquartile
learner_pm-3-sum
alms-core-learner_gm-63-min
acmesolver_pm-4-max
alms-core-rui-dmean_gm-64-min
alms-core-gradeservice-dmean_gm-64-median
acmesolver_pm-8-median
mail-sender_gm-17-min
scormhandlers_pm-3-sum
alms-core-learner_gm-62-thirdquartile
acmesolver_pm-14-min
rabbitmq_pm-2-count
author-react_pm-3-count
rabbitmq_pm-3-count
alms-core-rui-dcount_gm-64-count
rabbitmq_gm-19-thirdquartile
alms-core-rui_gm-61-median
alms-core-learner-dmean_gm-64-count
acmesolver_pm-7-min
mail-sender-web_pm-2-sum
author_pm-3-sum
acmesolver_pm-6-min
alms-core-gradeservice-dcount_gm-64-mean
scormhandlers_pm-3-count
acmesolver_pm-7-mean
acmesolver_pm-5-min
acmesolver_pm-16-count
alms-core-rui_gm-63-min
alms-core-rui-dcount_gm-64-thirdquartile
alms-core-gradeservice-dcount_gm-64-max
ztool_pm-3-count
author-react_pm-2-count
alms-core-gradeservice_gm-63-firstquartile
alms-core-gradeservice_gm-62-min
alms-core-rui_gm-62-mean
acmesolver_pm-4-count
ztool_pm-2-count
alms-core-rui_gm-60-thirdquartile
acmesolver_pm-14-mean
rui_pm-2-count
scormhandlers_pm-2-count
userhandlers_pm-2-count
alms-core-gradeservice_gm-63-median
acmesolver_pm-15-mean
alms-core-gradeservice_gm-60-count
alms-core-gradeservice-dcount_gm-64-count
alms-core-learner_gm-62-min
alms-core-gradeservice_gm-61-thirdquartile
learner_pm-2-sum
acmesolver_pm-13-max
alms-core-rui_gm-63-mean
acmesolver_pm-5-count
alms-core-learner-dmean_gm-64-max
acmesolver_pm-16-thirdquartile
alms-core-rui-dmean_gm-64-count
userhandlers_pm-2-sum
alms-core-rui_gm-62-min
identity_pm-2-count
alms-core-gradeservice_gm-62-firstquartile
mail-sender_gm-17-mean
rabbitmq_gm-16-min
author_pm-2-sum
alms-core-learner_gm-62-count
alms-core-rui-dmean_gm-64-median
scorm_pm-2-sum
alms-core-gradeservice-dmean_gm-64-min
alms-core-learner_gm-62-max
rabbitmq_gm-19-max
