1, -- 
2, -- 
3, -- 
4, -- 
5, -- 
6, -- 
7, -- 
8, -- 
9, -- 
10, -- 
11, -- 
12, -- 
13, -- 
14, -- 
15, -- 
16, -- 
17, -- 
18, -- 
19, -- 
20, -- 
21, -- 
22, -- 
105, -- ,fileapi,1218681.9519,redis,72126.074,userhandlers,16.4283,userapi,5.1448
106, -- ,redis,72836.7671,fileapi,35.6618,userhandlers,9.6199,identityapi,0.0125
107, -- ,redis,71176.8802,userhandlers,10.8199,fileapi,2.6332,author,1.3495
108, -- ,redis,71172.9308,userapi,-0.8443,fileapi,-2.2098
109, -- ,redis,73159.341,fileapi,-1.3854,userapi,-5.7336
110, -- ,redis,75950.852,userapi,6.0927,ui,4.1741,fileapi,-2.2018
111, -- ,redis,77165.0627,userapi,3.1946,fileapi,-1.1456
112, -- ,redis,78224.017,userapi,23.3272,fileapi,-1.4256,identity,-57.4332
113, -- ,redis,76654.3964,userapi,13.3709,fileapi,-1.4256,identity,-19.2892
114, -- ,redis,76990.7522,identity,5754.9739,userapi,20.6068,userhandlers,0.2304,fileapi,-1.4256
115, -- ,redis,76144.3557,identity,0.0847,fileapi,-0.572
116, -- ,redis,75622.7822,userhandlers,0.3854,userapi,0.2798,fileapi,-0.1266
117, -- ,redis,76446.895,userapi,17.3156,identity,0.6967,fileapi,-0.6043
118, -- ,redis,77194.7862,identity,1.25,userapi,0.2521,fileapi,-1.6132
119, -- ,redis,79288.6292,userapi,2.9389,identity,0.645,fileapi,-3.1692
120, -- ,redis,80318.3729,fileapi,-0.9903
121, -- ,redis,81066.6195,userhandlers,0.2522,fileapi,-2.5734
122, -- ,redis,80565.2285,fileapi,-2.3527
123, -- ,redis,81745.6787,author,0.2273,userhandlers,0.055,identity,-0.0017,fileapi,-1.3675
124, -- ,redis,81989.7164,fileapi,-2.132
125, -- ,redis,82569.3374,scorm,0.5107,fileapi,-1.3635
126, -- ,redis,83241.0928,scorm,0.5107,fileapi,-1.2518
