1, -- 
2, -- 
3, -- 
4, -- 
5, -- 
6, -- 
7, -- 
8, -- 
9, -- 
10, -- 
11, -- 
12, -- 
13, -- 
14, -- 
15, -- 
16, -- 
17, -- 
18, -- 
19, -- 
20, -- 
21, -- 
22, -- 
142, -- ,userapi,334.3277
143, -- ,userapi,177.533
144, -- ,userapi,175.9164
145, -- ,userapi,172.393
146, -- ,userapi,168.7605
147, -- ,userapi,167.4311
148, -- ,userapi,169.6072
149, -- ,userapi,140.4857
150, -- ,userapi,159.7426,identity,-5.8723
151, -- ,userapi,131.7294,identityapi,30.8998,identity,12.0948
152, -- ,userapi,107.0601,identityapi,28.4598,identity,4.2901,scormhandlers,-21.8501
153, -- ,userapi,86.4204,identityapi,30.4198,identity,-5.423,scormhandlers,-45.4359
154, -- ,userapi,94.5303,scormhandlers,-47.0987
155, -- ,userapi,88.994,identity,-0.6486
156, -- ,userapi,170.8433,identity,-5.4283
157, -- ,userapi,186.5594,redis,0.3095
158, -- ,userapi,152.4803,redis,0.9841,identity,-5.4283
159, -- ,userapi,18.9912,redis,0.9841,identity,0.0165
160, -- ,fileapi,41.8555,userapi,20.6594,identity,5.2197,redis,0.9841
161, -- ,fileapi,95.9827,userapi,19.5961,identity,2.9264,redis,1.3214
162, -- ,fileapi,173.6211,userapi,19.252,identity,12.9714,redis,1.6587
163, -- ,fileapi,113.8119,userapi,16.9189,identity,10.1783,redis,1.9961,ui,0.0887
164, -- ,fileapi,55.5537,userapi,13.4183,identity,10.7733,redis,1.3214
165, -- ,fileapi,19.8102,userapi,8.3654,redis,0.6468,scormhandlers,-3.4865
166, -- ,fileapi,17.1754,userapi,8.5829,redis,0.0011,identity,-5.4283
167, -- ,fileapi,13.29,userapi,8.2521
168, -- ,fileapi,9.2654,userapi,7.4087,identity,-3.5562
169, -- ,fileapi,6.6497,userapi,0.2095
170, -- ,ui,2.0,userapi,-2.2778,fileapi,-4.1111
171, -- ,rui,0.0,scormhandlers,-0.2563,userapi,-1.8526,fileapi,-25.3541
172, -- ,scormhandlers,9.1434,userapi,-1.1846
173, -- ,scormhandlers,4.5816,fileapi,2.2361,userapi,-0.895
174, -- ,userapi,-2.324
175, -- ,userapi,-2.7513
176, -- ,identity,5.063,gradeservice,0.0,userapi,-2.0159
177, -- ,identity,4.099,userapi,-4.0402
178, -- ,identity,6.0671,scorm,0.0,userapi,-2.2713
179, -- ,scorm,-1.0,userapi,-1.8273
180, -- ,userapi,1.6115,scorm,1.3265,fileapi,-4.2426
181, -- ,fileapi,25.6826,scorm,4.3923,gradeservice,0.0,identityapi,0.0,scormhandlers,0.0,identity,0.0,ztool,0.0,author,0.0,ui,0.0,rui,0.0,learner,0.0,userhandlers,0.0,userapi,-2.1594,redis,-6.467
