alms-core-learner-dcount_gm-64-median
alms-core-learner_gm-62-median
alms-core-rui_gm-60-mean
peerless-column-365315_gm-28-max
redis_gm-19-thirdquartile
peerless-column-365315_gm-37-firstquartile
redis_gm-19-max
peerless-column-365315_gm-44-median
alms-core-scormhandlers-dcount_gm-64-min
alms-core-gradeservice-dmean_gm-64-thirdquartile
mail-sender_gm-20-mean
alms-core-gradeservice-dmean_gm-64-median
acmesolver_pm-8-median
alms-core-learner_gm-62-thirdquartile
rabbitmq_pm-2-count
alms-core-rui-dcount_gm-64-count
REMOTE-IS-EXTERNAL-dmean_gm-59-mean
peerless-column-365315_gm-37-median
author_pm-3-sum
acmesolver_pm-6-min
alms-core-gradeservice-dcount_gm-64-mean
alms-core-scormhandlers_gm-60-count
acmesolver_pm-16-count
alms-core-rui_gm-63-min
mail-sender_gm-16-median
ztool_pm-3-count
alms-core-gradeservice_gm-63-firstquartile
default-dmean_gm-59-min
alms-core-rui_gm-62-mean
rui_pm-2-count
scormhandlers_pm-2-count
peerless-column-365315_gm-28-count
alms-core-gradeservice-dcount_gm-64-count
acmesolver_pm-13-max
alms-core-rui_gm-63-mean
mail-sender_gm-22-median
alms-core-scormhandlers_gm-60-thirdquartile
mail-sender_gm-22-count
author_pm-2-sum
default-dcount_gm-59-min
alms-core-scormhandlers-dmean_gm-64-median
peerless-column-365315_gm-37-thirdquartile
author-react_pm-3-sum
scorm-fe_pm-2-sum
rabbitmq_gm-19-mean
identity_pm-2-sum
alms-core-rui_gm-62-max
mail-sender_gm-11-median
alms-core-gradeservice_gm-60-min
mail-sender_gm-19-min
mail-sender_gm-19-thirdquartile
alms-core-gradeservice_gm-63-max
alms-core-scormhandlers-dmean_gm-64-thirdquartile
alms-core-scormhandlers_gm-63-thirdquartile
alms-core-scormhandlers_gm-63-mean
mail-sender_gm-19-max
acmesolver_pm-8-mean
gradeservice_pm-3-sum
acmesolver_pm-14-median
alms-core-rui-dcount_gm-64-firstquartile
alms-core-gradeservice_gm-61-median
alms-core-scormhandlers-dmean_gm-64-max
alms-core-scormhandlers-dcount_gm-64-mean
mail-sender_gm-20-count
alms-core-learner-dmean_gm-64-firstquartile
default-dmean_gm-59-max
peerless-column-365315_gm-44-count
alms-core-scormhandlers_gm-61-min
gradeservice_pm-2-sum
REMOTE-IS-EXTERNAL-dmean_gm-59-thirdquartile
peerless-column-365315_gm-45-thirdquartile
default-dmean_gm-59-median
alms-core-scormhandlers_gm-62-firstquartile
acmesolver_pm-13-min
identity_pm-3-sum
mail-sender_gm-11-max
alms-core-gradeservice_gm-61-count
acmesolver_pm-14-max
alms-core-gradeservice_gm-60-max
learner_pm-2-count
peerless-column-365315_gm-27-thirdquartile
acmesolver_pm-14-firstquartile
alms-core-rui_gm-63-median
acmesolver_pm-8-max
alms-core-rui-dmean_gm-64-firstquartile
peerless-column-365315_gm-45-max
acmesolver_pm-15-median
peerless-column-365315_gm-37-mean
peerless-column-365315_gm-27-median
alms-core-learner-dcount_gm-64-max
identityapi_pm-2-count
