alms-core-learner-dcount_gm-64-median
alms-core-learner_gm-62-median
alms-core-rui_gm-60-mean
alms-core-scormhandlers-dcount_gm-64-min
alms-core-identityapi-dcount_gm-64-max
alms-core-gradeservice-dmean_gm-64-thirdquartile
alms-core-gradeservice-dmean_gm-64-median
acmesolver_pm-8-median
alms-core-learner_gm-61-median
alms-core-learner_gm-62-thirdquartile
rabbitmq_pm-2-count
alms-core-rui-dcount_gm-64-count
author_pm-3-sum
acmesolver_pm-6-min
alms-core-gradeservice-dcount_gm-64-mean
alms-core-scormhandlers_gm-60-count
acmesolver_pm-16-count
alms-core-rui_gm-63-min
ztool_pm-3-count
alms-core-gradeservice_gm-63-firstquartile
alms-core-rui_gm-62-mean
rui_pm-2-count
scormhandlers_pm-2-count
alms-core-gradeservice-dcount_gm-64-count
acmesolver_pm-13-max
alms-core-rui_gm-63-mean
alms-core-learner_gm-61-mean
alms-core-scormhandlers_gm-60-thirdquartile
author_pm-2-sum
alms-core-identityapi_gm-60-firstquartile
alms-core-identityapi_gm-60-min
alms-core-scormhandlers-dmean_gm-64-median
author-react_pm-3-sum
scorm-fe_pm-2-sum
rabbitmq_gm-19-mean
identity_pm-2-sum
alms-core-rui_gm-62-max
alms-core-gradeservice_gm-60-min
fileapi_pm-2-sum
alms-core-gradeservice_gm-63-max
alms-core-scormhandlers-dmean_gm-64-thirdquartile
alms-core-scormhandlers_gm-63-thirdquartile
alms-core-scormhandlers_gm-63-mean
alms-core-learner_gm-60-min
acmesolver_pm-8-mean
gradeservice_pm-3-sum
acmesolver_pm-14-median
alms-core-rui-dcount_gm-64-firstquartile
alms-core-identityapi-dcount_gm-64-firstquartile
alms-core-gradeservice_gm-61-median
alms-core-scormhandlers-dmean_gm-64-max
alms-core-identityapi_gm-63-mean
alms-core-scormhandlers-dcount_gm-64-mean
alms-core-learner_gm-63-count
alms-core-learner-dmean_gm-64-firstquartile
alms-core-scormhandlers_gm-61-min
alms-core-learner_gm-61-max
gradeservice_pm-2-sum
alms-core-scormhandlers_gm-62-firstquartile
acmesolver_pm-13-min
alms-core-identityapi-dmean_gm-64-min
identity_pm-3-sum
alms-core-gradeservice_gm-61-count
acmesolver_pm-14-max
alms-core-gradeservice_gm-60-max
learner_pm-2-count
acmesolver_pm-14-firstquartile
alms-core-rui_gm-63-median
alms-core-identityapi-dmean_gm-64-max
acmesolver_pm-8-max
alms-core-learner_gm-63-thirdquartile
alms-core-rui-dmean_gm-64-firstquartile
acmesolver_pm-15-median
alms-core-learner-dcount_gm-64-max
identityapi_pm-2-count
gradeservice_pm-2-count
alms-core-learner_gm-61-count
fileapi_pm-3-count
alms-core-identityapi_gm-63-min
alms-core-identityapi_gm-62-median
mail-sender-web_pm-3-sum
acmesolver_pm-7-max
ui_pm-3-count
alms-core-learner_gm-61-thirdquartile
alms-core-rui_gm-60-count
alms-core-identityapi_gm-61-max
acmesolver_pm-15-firstquartile
alms-core-gradeservice-dmean_gm-64-count
alms-core-rui_gm-63-max
